year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2015,10,18,0,3,16,0,0,19.46,45,18.87,0.00
2015,10,18,0,3,22,0,0,19.46,44,18.87,0.00
2015,10,18,0,3,28,0,0,19.46,44,19.12,0.00
2015,10,18,0,3,34,0,0,19.46,44,19.75,0.00
2015,10,18,0,3,40,0,0,19.45,44,19.94,0.00
2015,10,18,0,3,46,0,0,19.47,47,19.44,0.00
2015,10,18,0,3,52,0,0,19.46,46,18.87,0.00
2015,10,18,0,3,58,0,0,19.46,45,18.69,0.00
2015,10,18,0,4,4,0,0,19.45,44,nan,0.00
2015,10,18,0,4,10,0,0,19.45,45,nan,0.00
2015,10,18,0,4,16,0,0,19.44,44,nan,0.00
2015,10,18,0,4,22,0,0,19.43,44,nan,0.00
2015,10,18,0,4,28,0,0,19.43,44,16.12,0.00
2015,10,18,0,4,34,0,0,19.44,45,16.62,0.00
2015,10,18,0,4,40,0,0,19.44,46,-10.44,0.00
2015,10,18,0,4,46,0,0,19.43,45,4.19,0.00
2015,10,18,0,4,52,0,0,19.42,44,19.37,0.00
2015,10,18,0,4,58,0,0,19.41,44,19.31,0.00
2015,10,18,0,5,4,0,0,19.41,44,19.56,0.00
2015,10,18,0,5,10,0,0,19.40,44,19.37,0.00
2015,10,18,0,5,16,0,0,19.39,44,19.31,0.00
2015,10,18,0,5,22,0,0,19.39,44,19.00,0.00
2015,10,18,0,5,28,0,0,19.38,44,20.06,0.00
2015,10,18,0,5,34,0,0,19.38,44,20.12,0.00
2015,10,18,0,5,40,0,0,19.37,43,20.12,0.00
2015,10,18,0,5,46,0,0,19.38,45,19.56,0.00
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2015,10,18,0,0,7,0,0,19.17,46,nan,0.00
2015,10,18,0,0,13,0,0,19.23,45,16.62,0.00
2015,10,18,0,0,19,0,0,19.25,44,16.50,0.00
2015,10,18,0,0,25,0,0,19.27,44,16.62,0.00
2015,10,18,0,0,31,0,0,19.28,44,16.87,0.00
2015,10,18,0,0,37,0,0,19.28,44,16.94,0.00
2015,10,18,0,0,43,0,0,19.28,43,17.37,0.00
2015,10,18,0,0,49,0,0,19.28,43,17.56,0.00
2015,10,18,0,0,55,0,0,19.28,43,14.38,0.00
2015,10,18,0,1,1,0,0,19.27,43,15.63,0.00
2015,10,18,0,1,7,0,0,19.27,43,15.69,0.00
2015,10,18,0,1,13,0,0,19.25,43,16.37,0.00
2015,10,18,0,1,19,0,0,19.25,43,15.94,0.00
2015,10,18,0,1,25,0,0,19.25,43,13.50,0.00
2015,10,18,0,1,31,0,0,19.24,43,7.69,0.00
2015,10,18,0,1,37,0,0,19.23,43,5.19,0.00
2015,10,18,0,1,43,0,0,19.22,43,7.81,0.00
2015,10,18,0,1,49,0,0,19.22,43,13.06,0.00
2015,10,18,0,1,55,0,0,19.22,43,-2.87,0.00
2015,10,18,0,2,1,0,0,19.22,43,9.19,0.00
2015,10,18,0,2,7,0,0,19.22,44,19.75,0.00
2015,10,18,0,2,13,0,0,19.21,43,19.94,0.00
2015,10,18,0,2,19,0,0,19.22,44,19.31,0.00
2015,10,18,0,2,25,0,0,19.21,43,18.87,0.00
2015,10,18,0,2,31,0,0,19.21,43,19.00,0.00
2015,10,18,0,2,37,0,0,19.20,43,19.50,0.00
2015,10,18,0,2,43,0,0,19.19,43,19.50,0.00
2015,10,18,0,2,49,0,0,19.18,43,19.56,0.00
2015,10,18,0,2,55,0,0,19.18,43,19.62,0.00
2015,10,18,0,3,1,0,0,19.18,43,nan,0.00
2015,10,18,0,3,7,0,0,19.17,43,nan,0.00
2015,10,18,0,3,13,0,0,19.16,43,nan,0.00
2015,10,18,0,3,19,0,0,19.16,43,18.00,0.00
2015,10,18,0,3,25,0,0,19.16,43,16.31,0.00
2015,10,18,0,3,31,0,0,19.16,43,16.37,0.00
2015,10,18,0,3,37,0,0,19.15,43,-24.19,0.00
2015,10,18,0,3,43,0,0,19.15,43,18.69,0.00
2015,10,18,0,3,49,0,0,19.14,43,19.00,0.00
2015,10,18,0,3,55,0,0,19.14,43,19.44,0.00
2015,10,18,0,4,1,0,0,19.14,43,19.81,0.00
2015,10,18,0,4,7,0,0,19.14,44,20.06,0.00
2015,10,18,0,4,13,0,0,19.14,44,20.37,0.00
2015,10,18,0,4,19,0,0,19.13,43,19.69,0.00
2015,10,18,0,4,25,0,0,19.13,44,18.94,0.00
2015,10,18,0,4,31,0,0,19.12,44,18.75,0.00
2015,10,18,0,4,37,0,0,19.13,44,18.56,0.00
2015,10,18,0,4,43,0,0,19.12,44,18.44,0.00
2015,10,18,0,4,49,0,0,19.12,44,18.50,0.00
2015,10,18,0,4,55,0,0,19.13,45,18.94,0.00
2015,10,18,0,5,1,0,0,19.13,44,19.75,0.00
2015,10,18,0,5,7,0,0,19.14,44,19.00,0.00
2015,10,18,0,5,13,0,0,19.15,44,18.62,0.00
2015,10,18,0,5,19,0,0,19.15,44,18.31,0.00
2015,10,18,0,5,25,0,0,19.15,44,18.69,0.00
2015,10,18,0,5,31,0,0,19.14,44,19.19,0.00
2015,10,18,0,5,37,0,0,19.14,44,19.25,0.00
2015,10,18,0,5,43,0,0,19.14,44,19.19,0.00
2015,10,18,0,5,49,0,0,19.13,44,19.19,0.00
2015,10,18,0,5,55,0,0,19.13,44,19.19,0.00
2015,10,18,0,6,1,0,0,19.12,44,19.25,0.00
2015,10,18,0,6,7,0,0,19.12,44,19.19,0.00
2015,10,18,0,6,13,0,0,19.12,44,19.25,0.00
2015,10,18,0,6,19,0,0,19.11,44,27.81,0.00
2015,10,18,0,6,25,0,0,19.11,44,24.12,0.00
2015,10,18,0,6,31,0,0,19.10,44,nan,0.00
2015,10,18,0,6,37,0,0,19.11,44,17.56,0.00
2015,10,18,0,6,43,0,0,19.10,44,24.94,0.00
2015,10,18,0,6,49,0,0,19.10,44,28.87,0.00
2015,10,18,0,6,55,0,0,19.09,44,21.31,0.00
2015,10,18,0,7,1,0,0,19.08,44,nan,0.00
2015,10,18,0,7,7,0,0,19.08,44,nan,0.00
2015,10,18,0,7,13,0,0,19.06,43,nan,0.00
2015,10,18,0,7,19,0,0,19.06,43,nan,0.00
2015,10,18,0,7,25,0,0,19.06,44,nan,0.00
2015,10,18,0,7,31,0,0,19.06,44,nan,0.00
2015,10,18,0,7,37,0,0,19.05,44,nan,0.00
2015,10,18,0,7,43,0,0,19.05,44,nan,0.00
2015,10,18,0,7,49,0,0,19.04,44,nan,0.00
2015,10,18,0,7,55,0,0,19.03,43,nan,0.00
2015,10,18,0,8,1,0,0,19.03,44,nan,0.00
2015,10,18,0,8,7,0,0,19.02,44,18.87,0.00
2015,10,18,0,8,13,0,0,19.02,44,27.81,0.00
2015,10,18,0,8,19,0,0,19.01,44,nan,0.00
2015,10,18,0,8,25,0,0,19.01,45,nan,0.00
2015,10,18,0,8,31,0,0,19.01,45,nan,0.00
