year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2026,3,26,13,18,42,494307752,-229341809,16.50,38,15.44,0.00,0.00
2026,3,26,13,18,48,524923298,-152759464,16.51,38,15.44,0.00,0.00
2026,3,26,13,18,54,506275835,-204215118,16.50,38,15.44,0.00,0.00
2026,3,26,13,19,0,382947100,-407241166,16.50,38,15.38,0.00,0.00
2026,3,26,13,19,6,401400749,-385482459,16.48,38,15.38,0.00,0.00
2026,3,26,13,19,12,360730340,-433388783,16.49,38,15.38,0.00,0.00
2026,3,26,13,19,18,355567853,-438932595,16.48,38,15.44,0.00,0.00
2026,3,26,13,19,24,355567853,-438932595,16.48,38,15.38,0.00,0.00
2026,3,26,13,19,30,355567853,-438932595,16.49,38,15.38,0.00,0.00
2026,3,26,13,19,36,355567853,-438932595,16.46,37,15.31,0.00,0.00
2026,3,26,13,19,42,355567853,-438932595,16.44,37,15.19,0.00,0.00
2026,3,26,13,19,48,355567853,-438932595,16.43,38,15.19,0.00,0.00
2026,3,26,13,19,54,355567853,-438932595,16.42,38,15.19,0.00,0.00
2026,3,26,13,20,0,355567853,-438932595,16.40,37,15.13,0.00,0.00
2026,3,26,13,20,6,355567853,-438932595,16.40,37,15.06,0.00,0.00
2026,3,26,13,20,12,355567853,-438932595,16.35,37,15.06,0.00,0.00
2026,3,26,13,20,18,355567853,-438932595,16.35,37,15.00,0.00,0.00
2026,3,26,13,20,24,355567853,-438932595,16.27,38,14.94,0.00,0.00
2026,3,26,13,20,30,355567853,-438932595,16.27,38,14.94,0.00,0.00
2026,3,26,13,20,36,355567853,-438932595,16.26,38,14.94,0.00,0.00
2026,3,26,13,20,42,355567853,-438932595,16.21,38,14.88,0.00,0.00
2026,3,26,13,20,48,355567853,-438932595,16.14,38,14.88,0.00,0.00
2026,3,26,13,20,54,355567853,-438932595,16.15,38,14.88,0.00,0.00
2026,3,26,13,21,0,355567853,-438932595,16.08,38,14.69,0.00,0.00
2026,3,26,13,21,6,355567853,-438932595,16.06,38,14.63,0.00,0.00
2026,3,26,13,21,12,355567853,-438932595,16.03,38,14.63,0.00,0.00
2026,3,26,13,21,18,355567853,-438932595,15.96,38,14.50,0.00,0.00
2026,3,26,13,21,24,355567853,-438932595,15.93,38,14.31,0.00,0.00
2026,3,26,13,21,30,355567853,-438932595,15.81,38,14.31,0.00,0.00
2026,3,26,13,21,36,355567853,-438932595,15.79,38,14.13,0.00,0.00
2026,3,26,13,21,42,355567853,-438932595,15.79,39,14.06,0.00,0.00
2026,3,26,13,21,48,355567853,-438932595,15.74,39,14.06,0.00,0.00
2026,3,26,13,21,54,355567853,-438932595,15.75,39,13.94,0.00,0.00
2026,3,26,13,22,0,355567853,-438932595,15.71,39,13.94,0.00,0.00
2026,3,26,13,22,6,355567853,-438932595,15.73,39,13.94,0.00,0.00
2026,3,26,13,22,12,355567853,-438932595,15.73,39,13.69,0.00,0.00
2026,3,26,13,22,18,355567853,-438932595,15.72,39,13.56,0.00,0.00
2026,3,26,13,22,24,355567853,-438932595,15.56,39,13.44,0.00,0.00
2026,3,26,13,22,30,355567853,-438932595,15.56,39,13.31,0.00,0.00
2026,3,26,13,22,36,355567853,-438932595,15.49,39,13.19,0.00,0.00
2026,3,26,13,22,42,355567853,-438932595,15.49,39,13.13,0.00,0.00
2026,3,26,13,22,48,355567853,-438932595,15.43,39,12.94,0.00,0.00
2026,3,26,13,22,54,355567853,-438932595,15.41,39,12.81,0.00,0.00
2026,3,26,13,23,0,355567853,-438932595,15.39,39,12.63,0.00,0.00
2026,3,26,13,23,6,355567853,-438932595,15.32,39,12.63,0.00,0.00
2026,3,26,13,23,12,355567853,-438932595,15.26,39,12.56,0.00,0.00
2026,3,26,13,23,18,355567853,-438932595,15.27,39,12.56,0.00,0.00
2026,3,26,13,23,24,355567853,-438932595,15.18,39,12.31,0.00,0.00
2026,3,26,13,23,30,355567853,-438932595,15.19,39,12.25,0.00,0.00
2026,3,26,13,23,36,355567853,-438932595,15.18,39,12.19,0.00,0.00
2026,3,26,13,23,42,355567853,-438932595,15.18,39,12.19,0.00,0.00
2026,3,26,13,23,48,355567853,-438932595,15.19,39,12.13,0.00,0.00
2026,3,26,13,23,54,355567853,-438932595,15.18,39,12.00,0.00,0.00
2026,3,26,13,24,0,355567853,-438932595,15.17,40,11.88,0.00,0.00
2026,3,26,13,24,6,355567853,-438932595,15.13,40,11.88,0.00,0.00
2026,3,26,13,24,12,355567853,-438932595,15.12,40,11.88,0.00,0.00
2026,3,26,13,24,18,355567853,-438932595,15.14,40,11.88,0.00,0.00
2026,3,26,13,24,24,355567853,-438932595,15.13,40,11.81,0.00,0.00
2026,3,26,13,24,30,355567853,-438932595,15.13,40,11.81,0.00,0.00
2026,3,26,13,24,36,355567853,-438932595,15.13,40,11.75,0.00,0.00
2026,3,26,13,24,42,355567853,-438932595,15.13,40,11.75,0.00,0.00
2026,3,26,13,24,48,355567853,-438932595,15.11,40,11.69,0.00,0.00
2026,3,26,13,24,54,355567853,-438932595,15.06,40,11.69,0.00,0.00
2026,3,26,13,25,0,355567853,-438932595,15.08,40,11.69,0.00,0.00
2026,3,26,13,25,6,355567853,-438932595,15.03,40,11.69,0.00,0.00
2026,3,26,13,25,12,355567853,-438932595,15.03,40,11.69,0.00,0.00
2026,3,26,13,25,18,355567853,-438932595,14.97,40,11.69,0.00,0.00
2026,3,26,13,25,24,355567853,-438932595,14.98,40,11.69,0.00,0.00
2026,3,26,13,25,30,355567853,-438932595,14.89,40,11.69,0.00,0.00
2026,3,26,13,25,36,355567853,-438932595,14.91,40,11.69,0.00,0.00
2026,3,26,13,25,42,355567853,-438932595,14.88,40,11.63,0.00,0.00
2026,3,26,13,25,48,355567853,-438932595,14.88,40,11.63,0.00,0.00
2026,3,26,13,25,54,355567853,-438932595,14.86,40,11.69,0.00,0.00
2026,3,26,13,26,0,355567853,-438932595,14.85,40,11.69,0.00,0.00
2026,3,26,13,26,6,355567853,-438932595,14.80,40,11.69,0.00,0.00
2026,3,26,13,26,12,355567853,-438932595,14.80,40,11.69,0.00,0.00
2026,3,26,13,26,18,355567853,-438932595,14.80,40,11.69,0.00,0.00
2026,3,26,13,26,24,355567853,-438932595,14.78,40,11.69,0.00,0.00
2026,3,26,13,26,30,355567853,-438932595,14.79,40,11.63,0.00,0.00
2026,3,26,13,26,36,355567853,-438932595,14.77,40,11.56,0.00,0.00
2026,3,26,13,26,42,355567853,-438932595,14.76,40,11.56,0.00,0.00
2026,3,26,13,26,48,355567853,-438932595,14.72,40,11.56,0.00,0.00
2026,3,26,13,26,54,355567853,-438932595,14.69,40,11.56,0.00,0.00
2026,3,26,13,27,0,355567853,-438932595,14.68,40,11.56,0.00,0.00
2026,3,26,13,27,6,355567853,-438932595,14.62,40,11.56,0.00,0.00
2026,3,26,13,27,12,355567853,-438932595,14.62,40,11.56,0.00,0.00
2026,3,26,13,27,18,355567853,-438932595,14.56,41,11.38,0.00,0.00
2026,3,26,13,27,24,355567853,-438932595,14.54,41,11.31,0.00,0.00
2026,3,26,13,27,30,355567853,-438932595,14.50,41,11.31,0.00,0.00
2026,3,26,13,27,36,355567853,-438932595,14.48,41,11.31,0.00,0.00
2026,3,26,13,27,42,355567853,-438932595,14.50,41,11.31,0.00,0.00
2026,3,26,13,27,48,355567853,-438932595,14.50,41,11.31,0.00,0.00
2026,3,26,13,27,54,355567853,-438932595,14.50,41,11.31,0.00,0.00
2026,3,26,13,28,0,355567853,-438932595,14.47,41,11.31,0.00,0.00
2026,3,26,13,28,6,355567853,-438932595,14.40,41,11.31,0.00,0.00
2026,3,26,13,28,12,355567853,-438932595,14.42,41,11.38,0.00,0.00
2026,3,26,13,28,18,355567853,-438932595,14.42,41,11.38,0.00,0.00
2026,3,26,13,28,24,355567853,-438932595,14.40,41,11.38,0.00,0.00
2026,3,26,13,28,30,355567853,-438932595,14.27,41,11.38,0.00,0.00
2026,3,26,13,28,36,355567853,-438932595,14.33,42,11.38,0.00,0.00
2026,3,26,13,28,42,355567853,-438932595,14.36,42,11.56,0.00,0.00
2026,3,26,13,28,48,355567853,-438932595,14.39,42,11.75,0.00,0.00
2026,3,26,13,28,54,355567853,-438932595,14.41,42,11.94,0.00,0.00
2026,3,26,13,29,0,355567853,-438932595,14.45,42,12.13,0.00,0.00
2026,3,26,13,29,6,355567853,-438932595,14.47,42,12.19,0.00,0.00
2026,3,26,13,29,12,355567853,-438932595,14.52,42,12.44,0.00,0.00
2026,3,26,13,29,18,355567853,-438932595,14.54,42,12.56,0.00,0.00
2026,3,26,13,29,24,355567853,-438932595,14.58,42,12.69,0.00,0.00
2026,3,26,13,29,30,355567853,-438932595,14.61,42,12.81,0.00,0.00
2026,3,26,13,29,36,355567853,-438932595,14.64,42,13.00,0.00,0.00
2026,3,26,13,29,42,355567853,-438932595,14.66,42,13.00,0.00,0.00
2026,3,26,13,29,48,355567853,-438932595,14.70,42,13.25,0.00,0.00
2026,3,26,13,29,54,355567853,-438932595,14.72,42,13.25,0.00,0.00
2026,3,26,13,30,0,355567853,-438932595,14.75,42,13.38,0.00,0.00
2026,3,26,13,30,6,355567853,-438932595,14.78,42,13.56,0.00,0.00
2026,3,26,13,30,12,355567853,-438932595,14.81,42,13.69,0.00,0.00
2026,3,26,13,30,18,355567853,-438932595,14.84,42,13.75,0.00,0.00
2026,3,26,13,30,24,355567853,-438932595,14.87,41,13.94,0.00,0.00
2026,3,26,13,30,30,355567853,-438932595,14.90,41,13.94,0.00,0.00
2026,3,26,13,30,36,355567853,-438932595,14.92,41,14.06,0.00,0.00
2026,3,26,13,30,42,355567853,-438932595,14.94,41,14.13,0.00,0.00
2026,3,26,13,30,48,355567853,-438932595,14.97,41,14.25,0.00,0.00
2026,3,26,13,30,54,355567853,-438932595,15.00,41,14.31,0.00,0.00
2026,3,26,13,31,0,355567853,-438932595,15.03,41,14.50,0.00,0.00
